id,title,views,likes,comments,category,category_title,Date,Time,duration,region_code
vxGWLTBmA78,skibidi toilet 76 (part 1),11731492,732424,43127,24,Entertainment,2024-07-07,00:00:24,T3M10S,US
wT6Vf3PCx6Y,We Bought A Semi Truck - BIGTIME,1575659,167777,11852,2,Autos & Vehicles,2024-07-05,15:01:04,22M35S,US
xh2Cnk-e16U,I Killed Every Mob with the MACE in 1.21 Minecraft Hardcore!,835376,17578,1489,20,Gaming,2024-07-06,11:16:22,39M19S,US
XkkNfR_MDiM,Minecraft but I survive in PVP CIVILIZATION,1035939,32550,6184,20,Gaming,2024-07-06,14:19:05,30M33S,US
XOK1F9TLEH8,Natlan Preview Teaser - Need a Hand? | Genshin Impact #Natlan #Preview #Teaser #Genshin Impact,1324612,75224,8255,20,Gaming,2024-07-05,12:50:00,T1M16S,US
yNid8kN4seM,1 Shotting Elden Ring's DLC,595484,25623,728,20,Gaming,2024-07-06,20:52:01,42M14S,US
yPvoKz6tyJs,Race Highlights | 2024 British Grand Prix,3658778,116320,6391,17,Sports,2024-07-07,16:26:31,T8MM6S,US
Z9OuuSvWPKU,Shakur Stevenson Puts On A Clinic At Home | FIGHT HIGHLIGHTS,437945,4157,3668,17,Sports,2024-07-07,04:42:25,T2M11S,US
Zf1d8SGuxfs,Tommy Richman - MILLION DOLLAR BABY (Official Music Video),918157,48621,2921,10,Music,2024-07-05,22:00:06,T2M47S,US
ZsOHVtrecgo,ImDontai Reacts To Kendrick Lamar Not Like Us Music Video,1479928,79517,3407,22,People & Blogs,2024-07-04,23:50:02,21MM8S,US
